"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
4046566,"Thedford","Thedford","",32.4846,-95.3966,"P","PPL","US","","TX",423,"","",0,156,160,"America/Chicago","2006-01-15"
4046572,"Timberhill Villa Number 4 Colonia","Timberhill Villa Number 4 Colonia","",26.2903,-98.2214,"P","PPL","US","","TX",215,"","",0,32,34,"America/Chicago","2006-01-15"
4046574,"Val Verde North Colonia","Val Verde North Colonia","Val Verde North Colonia,Val Verde North Subdivision Colonia",26.2015,-98.0864,"P","PPL","US","","TX",215,"","",0,28,32,"America/Chicago","2006-01-15"
4046576,"Van Raub","Van Raub","",29.7297,-98.6559,"P","PPL","US","","TX","029","","",0,418,423,"America/Chicago","2006-01-15"
4046580,"Vera","Vera","",33.6334,-99.5662,"P","PPL","US","","TX",275,"","",0,445,447,"America/Chicago","2006-01-15"
4046584,"Walnut Grove","Walnut Grove","",29.8683,-98.7347,"P","PPL","US","","TX",259,"","",0,438,446,"America/Chicago","2006-01-15"
4046586,"Warner Junction","Warner Junction","",33.8015,-96.5358,"P","PPL","US","","TX",181,"","",0,171,174,"America/Chicago","2006-01-15"
4046588,"Warsaw Center","Warsaw Center","",32.5546,-96.4155,"P","PPL","US","","TX",257,"","",0,120,126,"America/Chicago","2006-01-15"
4046592,"Wesley Grove","Wesley Grove","",30.6857,-95.7891,"P","PPL","US","","TX",471,"","",0,107,110,"America/Chicago","2006-01-15"
4046610,"Zion Grove","Zion Grove","",31.8749,-94.7827,"P","PPL","US","","TX",401,"","",0,132,140,"America/Chicago","2006-01-15"
4049462,"Camilla","Camilla","",30.5996,-95.058,"P","PPL","US","","TX",407,"","",0,92,94,"America/Chicago","2006-01-15"
4050880,"Buda","Buda","Bjuda,Buda,Do Pray,Du Pree,bwda,bwda  tgzas,Бјуда,بودا,بودا، تگزاس",30.0852,-97.8403,"P","PPL","US","","TX",209,"","",13705,214,220,"America/Chicago","2017-03-09"
4050908,"Alderbranch","Alderbranch","",31.6888,-95.458,"P","PPL","US","","TX","001","","",0,112,123,"America/Chicago","2006-01-15"
4050916,"Beasley","Beasley","",29.4975,-95.918,"P","PPL","US","","TX",157,"","",665,33,35,"America/Chicago","2017-03-09"
4050928,"Brushy","Brushy","",32.3865,-97.827,"P","PPL","US","","TX",221,"","",0,295,298,"America/Chicago","2006-01-15"
4669482,"107 West Colonia","107 West Colonia","107 West Colonia,107 West Subdivision Colonia,Acosta 107 Colonia",26.3184,-98.2653,"P","PPL","US","","TX",215,"","",0,41,42,"America/Chicago","2006-01-15"
4669483,"11 North-Victoria Road-FM 493 Colonia","11 North-Victoria Road-FM 493 Colonia","",26.2134,-98.0314,"P","PPL","US","","TX",215,"","",0,24,27,"America/Chicago","2006-01-15"
4669484,"13 1/2 North-FM 493 Colonia","13 1/2 North-FM 493 Colonia","",26.2492,-98.0403,"P","PPL","US","","TX",215,"","",0,22,27,"America/Chicago","2010-02-20"
4669485,"13 North-2 West Colonia","13 North-2 West Colonia","",26.2442,-97.9392,"P","PPL","US","","TX",215,"","",0,17,21,"America/Chicago","2010-02-20"
4669486,"15 1/2 North-FM 491 Colonia","15 1/2 North-FM 491 Colonia","",26.2815,-97.9183,"P","PPL","US","","TX",215,"","",0,17,19,"America/Chicago","2006-01-15"
4669487,"17 1/2 North-6 West Colonia","17 1/2 North-6 West Colonia","",26.3092,-98.0203,"P","PPL","US","","TX",215,"","",0,21,26,"America/Chicago","2006-01-15"
4669495,"1st, 2nd, and 3rd Street Area Colonia","1st, 2nd, and 3rd Street Area Colonia","",28.4333,-97.7114,"P","PPL","US","","TX","025","","",0,65,69,"America/Chicago","2006-01-15"
4669497,"21 Subdivision Colonia","21 Subdivision Colonia","",25.8904,-97.4283,"P","PPL","US","","TX","061","","",0,7,13,"America/Chicago","2006-01-15"
4669498,"281 Estates Colonia","281 Estates Colonia","",26.3784,-98.1522,"P","PPL","US","","TX",215,"","",0,25,28,"America/Chicago","2006-01-15"
