"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
3201890,"Dobruška Vas","Dobruska Vas","Dobruska Vas,Dobruška Vas",45.8892,15.3081,"P","PPL","SI","","B8","","","",338,NULL,155,"Europe/Ljubljana","2014-04-25"
3201892,"Dobrunje","Dobrunje","Dobrunje",46.0333,14.5833,"P","PPL","SI","",61,"","","",0,NULL,328,"Europe/Ljubljana","2013-04-04"
3201896,"Dobrovo","Dobrovo","Castel Dobra,Dobrovo,Dobrovo v Brdih",45.9964,13.5264,"P","PPLA","SI","","07","","","",368,NULL,134,"Europe/Ljubljana","2014-04-27"
3201897,"Dobrovnik","Dobrovnik","Dobronak,Dobrovnik,Dubrovnik",46.6514,16.3525,"P","PPLA","SI","","G5","","","",972,NULL,174,"Europe/Ljubljana","2014-04-27"
3201899,"Dobrovce","Dobrovce","Dobrovce",46.4803,15.7028,"P","PPL","SI","","J4","","","",799,NULL,260,"Europe/Ljubljana","2014-04-24"
3201901,"Dobrova","Dobrova","Dobrova,Dobrova pri Ljubljani",46.0458,14.3919,"P","PPLA","SI","","G4","","","",943,NULL,374,"Europe/Ljubljana","2014-04-27"
3201911,"Dobropolje","Dobropolje","Dobro Polje,Poglie",45.5664,14.2175,"P","PPL","SI","",38,"","","",70,NULL,420,"Europe/Ljubljana","2014-04-25"
3201926,"Dobrnič","Dobrnic","Dobrnic,Dobrnice,Dobrnič,Dobrniče",45.875,14.98,"P","PPL","SI","","D4","","","",97,NULL,239,"Europe/Ljubljana","2014-04-24"
3201927,"Dobrna","Dobrna","Doberna,Dobrna,Dobrno",46.3375,15.2264,"P","PPLA","SI","","G3","","","",548,NULL,381,"Europe/Ljubljana","2014-04-27"
3201936,"Dobrina","Dobrina","Dobrina",46.2833,15.8,"P","PPL","SI","","N6","","","",248,NULL,347,"Europe/Ljubljana","2014-04-24"
3201940,"Dobrije","Dobrije","Dobrije",46.55,14.9833,"P","PPL","SI","","K8","","","",86,NULL,380,"Europe/Ljubljana","2014-04-24"
3201944,"Dobrič","Dobric","Dobric,Dobrič,Pod Dobricem,Pod Dobričem",46.3193,15.0678,"P","PPL","SI","","K3","","","",182,NULL,349,"Europe/Ljubljana","2014-04-26"
3201958,"Dobravlje","Dobravlje","Dobraule,Dobravlje",45.8839,13.8453,"P","PPL","SI","","01","","","",435,NULL,118,"Europe/Ljubljana","2014-04-24"
3201959,"Dobravlje","Dobravlje","Dobraule,Dobravlje",45.7669,13.8822,"P","PPL","SI","","B7","","","",76,NULL,328,"Europe/Ljubljana","2014-04-24"
3201960,"Dobravica","Dobravica","Dobravica",45.9433,14.5442,"P","PPL","SI","",37,"","","",76,NULL,351,"Europe/Ljubljana","2014-04-24"
3201961,"Dobrava pri Stični","Dobrava pri Sticni","Dobrava",45.9772,14.8223,"P","PPL","SI","SI",39,"","","",59,NULL,574,"Europe/Ljubljana","2014-05-01"
3201962,"Dobrava pri Škocjanu","Dobrava pri Skocjanu","Dobrava,Dobrava pri Skocjanu,Dobrava pri Škocjanu",45.8745,15.3187,"P","PPL","SI","","B8","","","",197,NULL,159,"Europe/Ljubljana","2014-04-26"
3201963,"Dobrava pri Konjicah","Dobrava pri Konjicah","Dobrava pri Konjicah,Dobrova",46.3487,15.4103,"P","PPL","SI","","C4","","","",88,NULL,341,"Europe/Ljubljana","2014-04-26"
3201965,"Dobrava","Dobrava","Dobrava",45.8567,14.9681,"P","PPL","SI","","D4","","","",74,NULL,247,"Europe/Ljubljana","2014-04-24"
3201972,"Dobračeva","Dobraceva","Dobraceva,Dobračeva",46.0578,14.1122,"P","PPLX","SI","","F2","","","",0,NULL,508,"Europe/Ljubljana","2016-03-10"
3201976,"Dob pri Šentvidu","Dob pri Sentvidu","Dob,Dob pri Sentvidu,Dob pri Šentvidu,Veliki",45.9322,14.8617,"P","PPL","SI","",39,"","","",188,NULL,313,"Europe/Ljubljana","2014-04-25"
3201977,"Dobovec pri Rogatcu","Dobovec pri Rogatcu","Dobovec,Dobovec pri Rogatcu",46.2189,15.7516,"P","PPL","SI","SI","00","","","",283,NULL,287,"Europe/Ljubljana","2014-04-26"
3201978,"Dobovec","Dobovec","Dobovec",46.1131,15.0572,"P","PPL","SI","","D3","","","",170,NULL,651,"Europe/Ljubljana","2014-04-24"
3201979,"Dobova","Dobova","Dobova",45.8972,15.6637,"P","PPL","SI","","08","","","",744,NULL,142,"Europe/Ljubljana","2014-04-26"
3201986,"Dobliče","Doblice","Doblice,Dobliče",45.5555,15.1439,"P","PPL","SI","",17,"","","",186,NULL,148,"Europe/Ljubljana","2014-04-26"
3201987,"Doblar","Doblar","Doblar,Doblarji",46.1197,13.6897,"P","PPL","SI","",44,"","","",79,NULL,361,"Europe/Ljubljana","2014-04-24"
3201988,"Dobje pri Planini","Dobje pri Planini","Dobje,Dobje pri Planini",46.1375,15.3941,"P","PPLA","SI","","G2","","","",116,NULL,563,"Europe/Ljubljana","2014-05-01"
3201989,"Dobje pri Lesičnem","Dobje pri Lesicnem","Dobje,Dobje pri Lesicnem,Dobje pri Lesičnem",46.1167,15.4667,"P","PPL","SI","","L7","","","",81,NULL,425,"Europe/Ljubljana","2014-04-24"
3201990,"Dobeno","Dobeno","",46.1333,14.5333,"P","PPL","SI","","M8","","","",209,NULL,387,"Europe/Ljubljana","2014-04-24"
3201991,"Dobeno","Dobeno","Dobeno",45.8667,15.6167,"P","PPL","SI","","08","","","",57,NULL,342,"Europe/Ljubljana","2014-04-24"
3201993,"Dobec","Dobec","Dobec",45.8674,14.3368,"P","PPL","SI","",13,"","","",65,NULL,608,"Europe/Ljubljana","2014-04-27"
3201994,"Dob","Dob","Dob",46.1519,14.6286,"P","PPL","SI","","G7","","","",1563,NULL,306,"Europe/Ljubljana","2014-04-27"
3202019,"Divača","Divaca","Divaca,Divaccia,Divazza,Divača,divu~acha,ディヴァーチャ",45.6847,13.9703,"P","PPLA","SI","",19,"","","",1357,NULL,438,"Europe/Ljubljana","2014-04-27"
3202042,"Dežno pri Podlehniku","Dezno pri Podlehniku","Dezno,Dezno pri Podlehniku,Dežno,Dežno pri Podlehniku",46.3333,15.8333,"P","PPL","SI","","K1","","","",101,NULL,399,"Europe/Ljubljana","2014-04-25"
3202043,"Dežno pri Makolah","Dezno pri Makolah","Dezno,Dezno pri Makolah,Dežno,Dežno pri Makolah",46.3167,15.7,"P","PPL","SI","","O5","","","",85,NULL,288,"Europe/Ljubljana","2014-04-25"
3202048,"Devina","Devina","Devina",46.4111,15.5756,"P","PPLL","SI","","L8","","","",198,NULL,337,"Europe/Ljubljana","2014-04-24"
3202058,"Destrnik","Destrnik","Desternik,Destrnik,Obcina Destrnik,Občina Destrnik,Sveti Urban,desutoruniku,デストルニク",46.4925,15.8789,"P","PPLA","SI","","G1","","","",172,NULL,348,"Europe/Ljubljana","2014-05-01"
3202070,"Deskle","Deskle","Descla,Deskle",46.0531,13.6138,"P","PPL","SI","",44,"","","",1279,NULL,92,"Europe/Ljubljana","2014-04-27"
3202073,"Desinec","Desinec","Desinec",45.5606,15.2375,"P","PPL","SI","",17,"","","",55,NULL,198,"Europe/Ljubljana","2014-04-26"
3202077,"Desenci","Desenci","Desenci",46.4928,15.9175,"P","PPL","SI","","G1","","","",33,NULL,225,"Europe/Ljubljana","2014-04-26"
3202078,"Dešen","Desen","Desen,Dešen",46.1167,14.7667,"P","PPL","SI","",77,"","","",90,NULL,654,"Europe/Ljubljana","2014-04-25"
3202079,"Dešeča Vas","Deseca Vas","Deseca Vas,Dešeča Vas",45.8489,14.8981,"P","PPL","SI","","N8","","","",76,NULL,231,"Europe/Ljubljana","2014-04-25"
3202094,"Depala Vas","Depala Vas","Depala Vas,Depalja Vas",46.1333,14.5833,"P","PPL","SI","","G7","","","",507,NULL,294,"Europe/Ljubljana","2014-04-24"
3202103,"Delnice","Delnice","Delnice",46.15,14.2,"P","PPL","SI","",27,"","","",140,NULL,591,"Europe/Ljubljana","2014-04-24"
3202111,"Dekani","Dekani","Decani,Dekani,Pasja Vas,Villa Decani",45.5497,13.8136,"P","PPL","SI","",50,"","","",1586,NULL,71,"Europe/Ljubljana","2014-04-27"
3202117,"Dednja Vas","Dednja Vas","Dednja Vas",45.9872,15.6398,"P","PPL","SI","","08","","","",179,NULL,194,"Europe/Ljubljana","2015-10-04"
3202118,"Dedni Dol","Dedni Dol","Dedni Dol",45.9622,14.7444,"P","PPL","SI","",39,"","","",128,NULL,478,"Europe/Ljubljana","2014-04-24"
3202127,"Dečno Selo","Decno Selo","Decna Sela,Decno Selo,Dečna Sela,Dečno Selo",45.9523,15.606,"P","PPL","SI","","08","","","",304,NULL,174,"Europe/Ljubljana","2015-09-25"
3202128,"Dečja Vas","Decja Vas","Decja Vas,Dečja Vas",45.8833,15.05,"P","PPL","SI","","D4","","","",94,NULL,325,"Europe/Ljubljana","2014-04-24"
3202131,"Debenec","Debenec","Debenec",45.9167,15.1,"P","PPL","SI","","D4","","","",47,NULL,505,"Europe/Ljubljana","2014-04-24"
3202164,"Debeče","Debece","Debece,Debeče",45.9967,14.8153,"P","PPL","SI","",39,"","","",30,NULL,529,"Europe/Ljubljana","2014-04-24"
3202174,"Davča","Davca","Davca,Davča",46.1833,14.0333,"P","PPL","SI","","F1","","","",301,NULL,997,"Europe/Ljubljana","2014-04-24"
