"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
2471731,"Dar el Hadj Hassene","Dar el Hadj Hassene","Dar al Hajj Hasan,Dar el Hadj Hassene,Dār al Ḩājj Ḩasan",35.6833,10.6833,"P","PPL","TN","",16,3252,325255,"",0,NULL,64,"Africa/Tunis","2018-08-05"
2471732,"Dar el Hadj Ali Ben Slimane","Dar el Hadj Ali Ben Slimane","Dar Hadj Ali Ben Sliman,Dar al Hajj `Ali Bin Sulayman,Dar el Hadj Ali Ben Slimane,Dār al Ḩājj ‘Alī Bin Sulaymān",36.05,9.31667,"P","PPL","TN","",22,2452,245255,"",0,NULL,538,"Africa/Tunis","2018-08-05"
2471734,"Douar Fellah","Douar Fellah","Dar Fallah,Dar al Fallah,Douar Fellah,Dār al Fallāḩ",35.1614,9.99167,"P","PPL","TN","TN","03","","","",0,NULL,124,"Africa/Tunis","2012-01-18"
2471736,"Dar el Bey","Dar el Bey","Dar al Bay,Dar el Bey,Dār al Bāy",36.7667,9.45,"P","PPL","TN","",18,1755,175556,"",0,NULL,373,"Africa/Tunis","2018-08-05"
2471739,"Dar el Aroussi","Dar el Aroussi","Dar al `Arusi,Dar el Aroussi,Dār al ‘Arūsī",36.1122,10.2917,"P","PPL","TN","TN",23,3160,316052,"",0,NULL,50,"Africa/Tunis","2018-08-05"
2471749,"Dar Abd el Aziz","Dar Abd el Aziz","Dar Abd el Aziz,Dar `Abd al `Aziz,Dār ‘Abd al ‘Azīz",35.5217,8.8351,"P","PPL","TN","","02",4258,425851,"",0,NULL,970,"Africa/Tunis","2018-08-05"
2471788,"Dahmani","Dahmani","Abbah Qusur,Abbah Quşūr,Dahmani,Ebba Ksour",35.9439,8.82778,"P","PPL","TN","",14,2360,236052,"",0,NULL,622,"Africa/Tunis","2018-08-05"
2471802,"Darharha","Darharha","Daghagba,Daghagha,Daghaghah,Darharha,Ḑaghāghah",32.8333,10.4667,"P","PPL","TN","",34,5352,535253,"",0,NULL,413,"Africa/Tunis","2018-08-05"
2471822,"Debabcha","Debabcha","Dababishah,Dabābishah,Debabcha",33.7946,8.75416,"P","PPL","TN","",31,6353,635356,"",0,NULL,30,"Africa/Tunis","2018-08-05"
2471828,"Crétéville","Creteville","Creteville,Crétéville,Greteville,Grétéville",36.6623,10.3269,"P","PPL","TN","",36,"","","",0,NULL,70,"Africa/Tunis","2012-01-18"
2471829,"Crémieuxville","Cremieuxville","",36.8389,10.1728,"P","PPLX","TN","",36,1158,115852,"",0,NULL,24,"Africa/Tunis","2018-08-05"
2471870,"Chebbaou","Chebbaou","Chebbaou,Douar Chebbaou",36.8415,10.0383,"P","PPL","TN","",36,"","","",0,NULL,71,"Africa/Tunis","2012-01-18"
2471873,"Chassart-Teffaha","Chassart-Teffaha","",36.7145,9.60639,"P","PPL","TN","",17,2159,215958,"",0,NULL,144,"Africa/Tunis","2018-08-05"
2471874,"Charpin Ville","Charpin Ville","",35.735,8.27444,"P","PPL","TN","",14,2356,235652,"",0,NULL,823,"Africa/Tunis","2018-08-05"
2471888,"Chabbia","Chabbia","",33.9132,8.1123,"P","PPL","TN","",35,6251,625159,"",0,NULL,76,"Africa/Tunis","2018-08-05"
2471915,"Bou Arkoub","Bou Arkoub","Bou Arkoub,Bu `Urqub,Bū ‘Urqūb",36.5385,10.5509,"P","PPL","TN","",19,1565,156554,"",10024,NULL,69,"Africa/Tunis","2018-08-05"
2471925,"Bou Thadi","Bou Thadi","Bou Thadi,Bu Thady,Bū Thady",35.0987,10.2705,"P","PPL","TN","",32,3461,346156,"",0,NULL,163,"Africa/Tunis","2018-08-05"
2471944,"Bou Chemma","Bou Chemma","Bou Chema,Bou Chemma,Bou Chenini,Bu Shammah,Bu Shema,Bū Shammah",33.9025,10.0598,"P","PPL","TN","",29,5152,515252,"",0,NULL,41,"Africa/Tunis","2018-08-05"
2471947,"Bou Chebka","Bou Chebka","Bou Chebka,Bu Shabakah,Bū Shabakah",35.169,8.42936,"P","PPL","TN","","02",4262,426258,"",0,NULL,1135,"Africa/Tunis","2018-08-05"
2471953,"Mu‘tamadīyat Bū Sālim","Mu`tamadiyat Bu Salim","Delegation de Souk el Khemis,Délégation de Souk el Khemis,Mu`tamadiyat Bu Salim,Mu`tamadiyat Suq al Khamis,Mu‘tamadīyat Bū Sālim,Mu‘tamadīyat Sūq al Khamīs",36.6667,9,"A","ADMD","TN","","00","","","",0,NULL,186,"Africa/Tunis","2012-01-18"
2471956,"Bou Salem","Bou Salem","Bou Salem,Bu Salim,Bū Sālim,Souk el Khemis,Souk el Kremis,Suq al Khamis,Sūq al Khamīs",36.6073,8.96981,"P","PPL","TN","","06",2253,225351,"",0,NULL,127,"Africa/Tunis","2018-08-05"
2471965,"Bou Saadia","Bou Saadia","Bou Saadia,Bu Sa`diyah,Bū Sa‘dīyah",36.0499,9.63939,"P","PPL","TN","",22,2460,246056,"",0,NULL,549,"Africa/Tunis","2018-08-05"
2471969,"Bou Cebah","Bou Cebah","Bou Cebah,Bu Sabah,Bū Şabāḩ",33.6156,9.92382,"P","PPL","TN","",29,5159,515954,"",0,NULL,247,"Africa/Tunis","2018-08-05"
2471983,"Bordj Sidi Toui","Bordj Sidi Toui","Bordj Sidi Toui,Borj Sidi Toui,Burj Sidi at Tawi,Burj Sīdī aţ Ţawī,Sidi Touil",32.7263,11.3694,"P","PPL","TN","",28,5254,525455,"",0,NULL,38,"Africa/Tunis","2018-08-05"
2471986,"Borj Gourbata","Borj Gourbata","Bordj Gourbala,Bordj Gourbata,Borj Gourbata,Burj Qurbatah,Burj Qurbāţah",34.2728,8.54889,"P","PPL","TN","TN",30,6158,615853,"",0,NULL,135,"Africa/Tunis","2018-08-05"
2471992,"Borj Mejen Bel Abbès","Borj Mejen Bel Abbes","Bordj Maajen,Bordj Maajen Bel Abbes,Bordj Madjene Bel Abbes,Bordj Madjène Bel Abbès,Bordj Maâjen Bel Abbès,Borj Mejen Bel Abbes,Borj Mejen Bel Abbès,Burj Majin Bu al `Abbas,Burj Mājin Bū al ‘Abbās,Maadjen Bel Abbes,Maagen-Bel-Abbes,Madjene Bel Abbes,Madjène Bel Abbès,Majin Bu al `Abbas,Majjen Bel Abbes,Maâdjen Bel Abbès,Mejen Bel Abbes,Mejen Bel Abbès,Mājin Bū al ‘Abbās",34.7501,8.51976,"P","PPL","TN","","02",4263,426351,"",0,NULL,643,"Africa/Tunis","2018-08-05"
2471996,"Burj Fulayfil","Burj Fulayfil","Bordj Flifel,Bordj Flifet,Burj Fulayfil",36.1988,9.66622,"P","PPL","TN","",22,2460,246054,"",0,NULL,510,"Africa/Tunis","2018-08-05"
2471997,"Borj Frennj","Borj Frennj","Bordj Frenndj,Bordje Frendj,Borj Frennj,Burj Frendj,Fremdj",36.6908,9.81001,"P","PPL","TN","",39,1455,145553,"",0,NULL,111,"Africa/Tunis","2018-08-05"
2472002,"Bordj Bou er Rmada","Bordj Bou er Rmada","Bordj Bou er Rmada,Burj Bu ar Ramadah,Burj Bū ar Ramādah",36.3833,10.0333,"P","PPL","TN","",37,1651,165154,"",0,NULL,218,"Africa/Tunis","2018-08-05"
2472004,"Borj Ben Chelbi","Borj Ben Chelbi","Bordj Ben Chelbi,Bordj Bene Chelbi,Borj Ben Chelbi,Burj Bin Shalabi,Burj Bin Shalabī",37.0086,9.77139,"P","PPL","TN","TN",18,1756,175657,"",0,NULL,50,"Africa/Tunis","2018-08-05"
2472005,"Borj Bach Mamlouk","Borj Bach Mamlouk","Bordj Bach Mamlouk,Borj Bach Mamlouk,Burj Bash Mamluk,Burj Bāsh Mamlūk",36.6208,9.98833,"P","PPL","TN","TN",36,"","","",0,NULL,73,"Africa/Tunis","2012-01-18"
2472007,"Borj Turki","Borj Turki","Bordj Turki,Borj Turki,Burj at Turki,Burj at Turkī",36.8719,10.1672,"P","PPL","TN","TN",38,1251,125152,"",0,NULL,56,"Africa/Tunis","2018-08-05"
2472011,"Borj et Touil","Borj et Touil","Bordj el Touil,Bordj et Touil,Borj et Touil,Burj at Tawil,Burj aţ Ţawīl",36.9333,10.1439,"P","PPL","TN","TN",38,1253,125356,"",0,NULL,10,"Africa/Tunis","2018-08-05"
2472012,"Bordj Tahar","Bordj Tahar","Bordj Tahar,Burj at Tahir,Burj aţ Ţāhir",36.4993,9.2601,"P","PPL","TN","",17,2155,215560,"",0,NULL,481,"Africa/Tunis","2018-08-05"
2472016,"Bordj ech Cheikh Belkassem","Bordj ech Cheikh Belkassem","Bordj ech Cheikh Belkassem,Burj ash Shaykh Bu al Qasim,Burj ash Shaykh Bū al Qāsim",36.95,9.31667,"P","PPL","TN","",18,1755,175553,"",0,NULL,348,"Africa/Tunis","2018-08-05"
2472030,"Borj el Kherba","Borj el Kherba","Bordj el Kherba,Bordj el Krerba,Borj el Kherba,Burj al Khirbah",37.0581,9.75972,"P","PPL","TN","TN",18,1756,175655,"",0,NULL,148,"Africa/Tunis","2018-08-05"
2472032,"Borj Ali Ben Ammar","Borj Ali Ben Ammar","Bordj Adj Ali,Bordj Ali Ben Ammar,Bordj Ali Bene Ammar,Borj Ali Ben Ahmar,Borj Ali Ben Ammar,Burj `Ali Bin `Ammar,Burj ‘Alī Bin ‘Ammār",37.0003,10.0928,"P","PPL","TN","TN",36,"","","",0,NULL,8,"Africa/Tunis","2012-01-18"
2472034,"Bordj el Hadj Mohammed","Bordj el Hadj Mohammed","Bordj el Hadj Mohammed,Borj el Hadj Mohammed,Burj al Hajj Muhammad,Burj al Ḩājj Muḩammad",35.5833,8.76667,"P","PPL","TN","","02",4259,425955,"",0,NULL,853,"Africa/Tunis","2018-08-05"
2472037,"Bordj el Hadj Brahim","Bordj el Hadj Brahim","Bordj el Hadj Brahim,Burj al Hajj Ibrahim,Burj al Ḩājj Ibrāhīm",35.8333,8.6,"P","PPL","TN","",14,2358,235854,"",0,NULL,592,"Africa/Tunis","2018-08-05"
2472039,"Borj el Hafsia","Borj el Hafsia","Bordj el Hafsia,Borj el Hafsia,Burj al Hafsiyah,Burj al Ḩafşīyah",36.7319,9.9275,"P","PPL","TN","",39,1454,145457,"",0,NULL,32,"Africa/Tunis","2018-08-05"
2472041,"Borj el Bey","Borj el Bey","Bordj el Bey,Borj el Bey,Burj al Bay,Burj al Bāy",36.84,10.9114,"P","PPL","TN","",19,1555,155552,"",0,NULL,61,"Africa/Tunis","2018-08-05"
2472042,"Borj el Bey","Borj el Bey","Bir El Bey,Bordj el Bey,Borj el Bey,Burj al Bay,Burj al Bāy",36.0333,10.3053,"P","PPL","TN","TN",23,3160,316062,"",0,NULL,23,"Africa/Tunis","2018-08-05"
2472044,"Borj Aalouine","Borj Aalouine","Bordj Aalouine,Borj Aalouine,Burj `Alawiyin,Burj ‘Alawīyīn",36.6889,9.88833,"P","PPL","TN","",39,1455,145552,"",0,NULL,64,"Africa/Tunis","2018-08-05"
2472047,"Bordj el Amri","Bordj el Amri","Bordj el Amri,Burj al Amri",36.7028,9.88778,"P","PPL","TN","",39,1455,145551,"",0,NULL,52,"Africa/Tunis","2018-08-05"
2472048,"Borj Ahmed Zaïd","Borj Ahmed Zaid","Ahmed Zid,Bordj Admed Zaid,Bordj Admed Zaïd,Borj Ahmed Zaid,Borj Ahmed Zaïd,Burj Ahmad Za'id,Burj Aḩmad Zā’id",36.6331,10.2836,"P","PPL","TN","TN",27,1362,136264,"",0,NULL,50,"Africa/Tunis","2018-08-05"
2472055,"Berghoutsia","Berghoutsia","Barghouthla,Berghoutsia,Berrboutsia,Berrhoutsia,Burghuthiyah,Burghūthīyah",33.6039,8.91348,"P","PPL","TN","",31,6351,635155,"",0,NULL,39,"Africa/Tunis","2018-08-05"
2472119,"Bou Merdès","Bou Merdes","Bou Merdas,Bou Merdes,Bou Merdès,Bu Mirdas,Bū Mirdās",35.4572,10.7281,"P","PPL","TN","",15,3352,335251,"",0,NULL,76,"Africa/Tunis","2018-08-05"
2472136,"Blidet el Meguedmine","Blidet el Meguedmine","Blidet el Meguedmine,Bulaydat al Muqaddamin,Bulaydat al Muqaddamīn",32.8767,10.4163,"P","PPL","TN","",34,5352,535261,"",0,NULL,377,"Africa/Tunis","2018-08-05"
2472176,"Bou Djelida","Bou Djelida","Bou Djelida,Bu Jalidah,Bū Jalīdah,Dachret Bou Djehda,Dachret Bou Djelida",36.4157,9.50493,"P","PPL","TN","",22,2461,246152,"",0,NULL,215,"Africa/Tunis","2018-08-05"
2472181,"Bou Hamran","Bou Hamran","Bou Hamram,Bou Hamran,Bou Hamrane,Bu Humran,Bū Ḩumrān",34.3606,9.10623,"P","PPL","TN","",30,6159,615954,"",0,NULL,469,"Africa/Tunis","2018-08-05"
2472196,"Bou Hadjar","Bou Hadjar","Bou Hadjar,Bu Adjar,Bu Hajar,Bū Ḩajar",35.6833,10.8667,"P","PPL","TN","",16,3262,326251,"",0,NULL,0,"Africa/Tunis","2018-08-05"
2472203,"Boughrara","Boughrara","Bou Ghrara,Bou Grara,Boughrara,Bu Ghirarah,Bū Ghirārah,Djorf Bou Grara",33.5384,10.6762,"P","PPL","TN","",28,5252,525260,"",0,NULL,18,"Africa/Tunis","2018-08-05"
2472213,"Bou Ficha","Bou Ficha","Bordj Bou Ficha,Bou Ficha,Bu Ficha,Bu Fisha,Bu Fishah,Bū Fīshah",36.3003,10.4548,"P","PPL","TN","",19,"","","",0,NULL,10,"Africa/Tunis","2012-01-18"
2472240,"Bou Bellel","Bou Bellel","Bou Bellel,Bu Ballal,Bū Ballāl",34.4333,9.28333,"P","PPL","TN","",30,6160,616054,"",0,NULL,538,"Africa/Tunis","2018-08-05"
2472247,"Bou Attouche","Bou Attouche","Bou Atouch,Bou Attouche,Bu `Attush,Bū ‘Aţţūsh",33.8993,9.78496,"P","PPL","TN","",29,5157,515761,"",2700,NULL,55,"Africa/Tunis","2018-08-05"
2472256,"Bou Rebia","Bou Rebia","Bou Rebia,Bu ar Rabi`ah,Bū ar Rabī‘ah",35.6748,10.5731,"P","PPL","TN","",23,3164,316464,"",0,NULL,54,"Africa/Tunis","2018-08-05"
2472259,"Bou Arada","Bou Arada","Bou Arada,Bouarada,Bu `Aradah,Bū ‘Arādah,Delegation de Bou Arada,Délégation de Bou Arada,Mu`tamadiyat Bu `Aradah,Mu‘tamadīyat Bū ‘Arādah,tdarʿwb,بو عرادة,ةدارعوب,معتمدية بو عرادة",36.3162,9.61157,"A","ADM2","TN","",22,2453,"","",0,NULL,294,"Africa/Tunis","2018-08-08"
2472261,"Bou Arada","Bou Arada","Bou Arada,Bu `Aradah,Bū ‘Arādah",36.3525,9.62175,"P","PPL","TN","",22,2453,245352,"",12158,NULL,246,"Africa/Tunis","2018-08-05"
2472333,"Bodeur","Bodeur","Bodeur,Bouder,Boudher",35.6667,10.8333,"P","PPL","TN","TN",16,3262,326253,"",0,NULL,44,"Africa/Tunis","2018-08-05"
